arquivo,TRWET_medio
MGMC.2008.096.trop,304.7184027777778
MGMC.2008.098.trop,255.15277777777777
MGMC.2008.161.trop,160.61527777777778
MGMC.2008.162.trop,140.18124999999998
MGMC.2008.163.trop,112.67986111111111
MGMC.2008.164.trop,94.44513888888889
MGMC.2008.165.trop,106.11770833333334
MGMC.2008.166.trop,85.93506944444444
MGMC.2008.167.trop,103.99548611111112
MGMC.2008.168.trop,100.22986111111112
MGMC.2008.169.trop,120.89999999999999
MGMC.2008.170.trop,114.295
MGMC.2008.172.trop,123.035
MGMC.2008.177.trop,146.3712962962963
MGMC.2008.178.trop,137.75350318471337
MGMC.2008.179.trop,132.29652777777778
MGMC.2008.180.trop,141.45686274509805
MGMC.2008.182.trop,112.06631944444445
MGMC.2008.183.trop,136.5240174672489
MGMC.2008.184.trop,141.8951388888889
MGMC.2008.185.trop,124.12326388888889
MGMC.2008.186.trop,130.58229166666666
MGMC.2008.187.trop,130.61979166666666
MGMC.2008.188.trop,110.66319444444444
MGMC.2008.189.trop,81.76388888888889
MGMC.2008.190.trop,67.72118055555556
MGMC.2008.191.trop,65.08935185185184
MGMC.2008.192.trop,97.02222222222223
MGMC.2008.197.trop,91.17933884297521
MGMC.2008.198.trop,93.82395833333334
MGMC.2008.199.trop,70.50555555555555
MGMC.2008.200.trop,67.12152777777777
MGMC.2008.201.trop,94.72847222222222
MGMC.2008.202.trop,99.15243055555555
MGMC.2008.203.trop,95.17673611111111
MGMC.2008.204.trop,79.19027777777777
MGMC.2008.205.trop,81.0767361111111
MGMC.2008.206.trop,82.9517361111111
MGMC.2008.207.trop,78.85590277777777
MGMC.2008.208.trop,104.08958333333334
MGMC.2008.209.trop,108.79583333333333
MGMC.2008.210.trop,91.40208333333334
MGMC.2008.211.trop,72.27812499999999
MGMC.2008.212.trop,92.603125
MGMC.2008.213.trop,96.46041666666666
MGMC.2008.214.trop,104.47951388888889
MGMC.2008.215.trop,97.87395833333333
MGMC.2008.216.trop,112.83263888888888
MGMC.2008.217.trop,135.2388888888889
MGMC.2008.218.trop,166.62465277777778
MGMC.2008.219.trop,163.97916666666666
MGMC.2008.220.trop,110.91215277777778
MGMC.2008.221.trop,102.384375
MGMC.2008.222.trop,79.50347222222223
MGMC.2008.223.trop,76.94826388888889
MGMC.2008.224.trop,95.67256944444445
MGMC.2008.225.trop,85.42083333333333
MGMC.2008.226.trop,85.20208333333333
MGMC.2008.227.trop,86.72291666666666
MGMC.2008.228.trop,91.01458333333333
MGMC.2008.229.trop,125.96493055555555
MGMC.2008.230.trop,89.32604166666667
MGMC.2008.231.trop,95.51875000000001
MGMC.2008.232.trop,96.27673611111112
MGMC.2008.233.trop,93.6732638888889
MGMC.2008.234.trop,102.54340277777777
MGMC.2008.235.trop,116.18194444444445
MGMC.2008.236.trop,117.06736111111111
MGMC.2008.237.trop,117.97569444444444
MGMC.2008.238.trop,123.86736111111112
MGMC.2008.239.trop,94.7045138888889
MGMC.2008.240.trop,87.92569444444445
MGMC.2008.241.trop,76.95763888888888
MGMC.2008.242.trop,93.49826388888889
MGMC.2008.243.trop,133.14409722222223
MGMC.2008.244.trop,181.47222222222223
MGMC.2008.245.trop,132.69270833333334
MGMC.2008.246.trop,73.37708333333333
MGMC.2008.247.trop,78.86875
MGMC.2008.248.trop,85.56736111111111
MGMC.2008.249.trop,81.34097222222222
MGMC.2008.250.trop,81.6548611111111
MGMC.2008.251.trop,100.39791666666666
MGMC.2008.252.trop,112.05291666666668
MGMC.2008.253.trop,106.40833333333333
MGMC.2008.254.trop,90.45625000000001
MGMC.2008.255.trop,110.26875000000001
MGMC.2008.256.trop,83.26666666666667
MGMC.2008.257.trop,87.85833333333333
MGMC.2008.258.trop,112.52291666666666
MGMC.2008.259.trop,148.0704861111111
MGMC.2008.260.trop,155.23472222222222
MGMC.2008.261.trop,184.690625
MGMC.2008.262.trop,203.2017361111111
MGMC.2008.263.trop,198.5388888888889
MGMC.2008.264.trop,158.7840277777778
MGMC.2008.265.trop,219.6902777777778
MGMC.2008.266.trop,228.7263888888889
MGMC.2008.267.trop,169.68333333333334
MGMC.2008.268.trop,133.57916666666668
MGMC.2008.269.trop,168.24895833333332
MGMC.2008.270.trop,213.7454861111111
MGMC.2008.271.trop,229.55868055555553
MGMC.2008.272.trop,186.49270833333333
MGMC.2008.273.trop,162.71249999999998
MGMC.2008.274.trop,158.10451388888887
MGMC.2008.275.trop,194.36493055555556
MGMC.2008.276.trop,193.3878472222222
MGMC.2008.277.trop,153.79444444444445
MGMC.2008.278.trop,146.47777777777776
MGMC.2008.279.trop,92.94270833333333
MGMC.2008.280.trop,104.09409722222222
MGMC.2008.281.trop,142.16770833333334
MGMC.2008.282.trop,147.36284722222223
MGMC.2008.283.trop,165.10416666666666
MGMC.2008.284.trop,179.02499999999998
MGMC.2008.285.trop,169.60694444444445
MGMC.2008.286.trop,157.41180555555556
MGMC.2008.287.trop,133.99965277777778
MGMC.2008.288.trop,128.65451388888889
MGMC.2008.289.trop,137.68020833333333
MGMC.2008.290.trop,136.85104166666667
MGMC.2008.291.trop,165.33888888888887
MGMC.2008.292.trop,185.30243055555556
MGMC.2008.293.trop,179.59131944444445
MGMC.2008.294.trop,248.81770833333334
MGMC.2008.295.trop,190.42175732217575
MGMC.2008.296.trop,189.95208333333332
MGMC.2008.297.trop,191.034375
MGMC.2008.298.trop,130.42361111111111
MGMC.2008.299.trop,112.83090277777778
MGMC.2008.300.trop,114.06319444444443
MGMC.2008.301.trop,130.52222222222224
MGMC.2008.302.trop,135.35277777777776
MGMC.2008.303.trop,173.11874999999998
MGMC.2008.304.trop,171.7454861111111
MGMC.2008.305.trop,169.08333333333334
MGMC.2008.307.trop,159.73402777777778
MGMC.2008.308.trop,129.44791666666666
MGMC.2008.309.trop,147.98991228070173
MGMC.2008.310.trop,178.33464912280704
MGMC.2008.311.trop,193.45
MGMC.2008.312.trop,227.50104166666668
MGMC.2008.313.trop,256.5534722222222
MGMC.2008.314.trop,249.1045138888889
MGMC.2008.315.trop,282.46006944444446
MGMC.2008.316.trop,286.9513888888889
MGMC.2008.317.trop,270.4034722222222
MGMC.2008.318.trop,290.4479166666667
MGMC.2008.319.trop,289.04548611111113
MGMC.2008.320.trop,287.3996527777778
MGMC.2008.321.trop,272.80937500000005
MGMC.2008.322.trop,288.59166666666664
MGMC.2008.323.trop,286.6149305555556
MGMC.2008.324.trop,257.10833333333335
MGMC.2008.325.trop,257.5065972222222
MGMC.2008.326.trop,277.5690972222222
MGMC.2008.327.trop,284.0729166666667
MGMC.2008.328.trop,265.4892361111111
MGMC.2008.329.trop,214.87326388888889
MGMC.2008.330.trop,242.02395833333333
MGMC.2008.331.trop,247.0652777777778
MGMC.2008.332.trop,274.6920138888889
MGMC.2008.333.trop,278.11319444444445
MGMC.2008.334.trop,286.3180555555556
MGMC.2008.335.trop,281.08159722222223
MGMC.2008.336.trop,292.6770833333333
MGMC.2008.337.trop,296.2604166666667
MGMC.2008.338.trop,303.44444444444446
MGMC.2008.339.trop,300.0701388888889
MGMC.2008.340.trop,296.42791666666665
MGMC.2008.341.trop,284.15520833333335
MGMC.2008.343.trop,254.78750000000002
MGMC.2008.344.trop,193.89236111111111
MGMC.2008.345.trop,153.57777777777778
MGMC.2008.346.trop,190.1486111111111
MGMC.2008.347.trop,250.57569444444445
MGMC.2008.348.trop,249.31145833333332
